Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Loss,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Yone, Maokai, Neeko, Nocturne, Camille","Lee Sin, Lillia, Galio, Orianna, Twisted Fate","Akali, Skarner, Zoe, Draven, Soraka","Olaf, Amumu, Taliyah, Kalista, Renata Glasc","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Win,Blue,"Hanwha Life Esports, Hanwha Life Esportslogo std","Yone, Nautilus, Maokai, Ziggs, Rakan","Skarner, Kalista, Galio, Lee Sin, Lillia","Jax, Viego, Ahri, Caitlyn, Karma","Aatrox, Diana, Yasuo, Corki, Elise","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Loss,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Kalista, Yone, Skarner, Rell, Nautilus","Lee Sin, Corki, Galio, Jax, Camille","Irelia, Sejuani, Mel, Miss Fortune, LeBlanc","Gnar, Nidalee, Sylas, Varus, Pantheon","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Win,Blue,"Hanwha Life Esports, Hanwha Life Esportslogo std","Yone, Varus, Galio, Corki, Braum","Skarner, Kalista, Nidalee, Zeri, Rakan","Rumble, Wukong, Viktor, Jhin, Poppy","K'Sante, Zyra, Hwei, Ashe, Leona","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Loss,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Skarner, Kalista, Ashe, Xayah, Varus","Rumble, Poppy, Galio, Rakan, Elise","Ambessa, Vi, Aurora, Kai'Sa, Pyke","Jayce, Xin Zhao, Azir, Ezreal, Alistar","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
8/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.2, Patch 25.S1.2",Win,Red,"Nongshim RedForce, Nongshim RedForcelogo std","Skarner, Kalista, Sejuani, Xayah, Caitlyn","Viktor, Varus, Ambessa, Nautilus, Leona","Rumble, Lee Sin, Corki, Kai'Sa, Pyke","Anivia, Viego, Yone, Ashe, Elise","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Play-In Round 1-2",VOD
8/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.2, Patch 25.S1.2",Win,Blue,"Nongshim RedForce, Nongshim RedForcelogo std","Ambessa, Rumble, Elise, Nautilus, Kai'Sa","Skarner, Kalista, Renata Glasc, Varus, Xayah","Jayce, Xin Zhao, Azir, Miss Fortune, Poppy","K'Sante, Vi, Aurora, Ezreal, Blitzcrank","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Play-In Round 1-2",VOD
1/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.2, Patch 25.S1.2",Win,Blue,"Gen.G, Gen.Glogo std","Nidalee, Ashe, Ambessa, Nautilus, Rell","Skarner, Kalista, Corki, Miss Fortune, Jhin","Rumble, Wukong, Galio, Zeri, Lulu","Udyr, Lee Sin, Hwei, Jinx, Thresh","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 3",VOD
1/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.2, Patch 25.S1.2",Loss,Red,"Gen.G, Gen.Glogo std","Skarner, Ashe, Kalista, Wukong, Nocturne","Galio, Ambessa, Corki, Zyra, Nidalee","Sion, Xin Zhao, Azir, Ezreal, Leona","Aurora, Jax, Sylas, Xayah, Rakan","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 3",VOD
1/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.2, Patch 25.S1.2",Win,Blue,"Gen.G, Gen.Glogo std","Nidalee, Ashe, Ambessa, Zyra, Lillia","Skarner, Kalista, Aurora, Ezreal, Rakan","Jayce, Vi, Viktor, Kai'Sa, Poppy","K'Sante, Maokai, Yone, Varus, Elise","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 3",VOD
26/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Red,"Nongshim RedForce, Nongshim RedForcelogo std","Skarner, Rumble, Leona, Alistar, Ashe","Poppy, Kalista, Azir, Renata Glasc, Varus","K'Sante, Lillia, Ambessa, Jinx, Lulu","Renekton, Sejuani, Akali, Xayah, Rell","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 2 (2)",VOD
26/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Blue,"Nongshim RedForce, Nongshim RedForcelogo std","Rumble, Yone, Ambessa, Akali, Kai'Sa","Skarner, Kalista, K'Sante, Renata Glasc, Xayah","Jayce, Xin Zhao, Viktor, Caitlyn, Elise","Aurora, Vi, Hwei, Ezreal, Nautilus","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 2 (2)",VOD
24/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Blue,"KT Rolster, KT Rolsterlogo std","Yone, Ashe, Caitlyn, Alistar, Taliyah","Azir, Kalista, Zyra, Nocturne, Lee Sin","Rumble, Pantheon, Aurora, Xayah, Rakan","Ambessa, Xin Zhao, Swain, Ziggs, Nautilus","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 2",VOD
24/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Loss,Red,"KT Rolster, KT Rolsterlogo std","Yone, Ashe, Kalista, Zyra, Sejuani","Azir, Ambessa, Rumble, Braum, Corki","Jax, Nidalee, Galio, Ezreal, Karma","Jayce, Wukong, Ahri, Jinx, Leona","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 2",VOD
24/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Blue,"KT Rolster, KT Rolsterlogo std","Ashe, Yone, Ambessa, Taliyah, Renata Glasc","Kalista, Azir, Lillia, Xayah, Elise","Gnar, Skarner, Viktor, Kai'Sa, Poppy","K'Sante, Vi, Sylas, Varus, Rell","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 2",VOD
18/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Red,"DRX, DRXlogo std","Skarner, Yone, K'Sante, Jax, Akali","Sejuani, Varus, Kalista, Nocturne, Braum","Rumble, Lee Sin, Aurora, Caitlyn, Elise","Ornn, Wukong, Viktor, Corki, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 1 (2)",VOD
18/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Win,Red,"DRX, DRXlogo std","Kalista, K'Sante, Skarner, Leona, Kai'Sa","Sejuani, Caitlyn, Aurora, Renata Glasc, Varus","Jayce, Xin Zhao, Galio, Xayah, Rakan","Ambessa, Vi, Taliyah, Ezreal, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Week 1 (2)",VOD
16/01/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.1, Patch 25.S1.1",Loss,Red,"Dplus KIA, Dplus KIAlogo std","Maokai, Kai'Sa, Skarner, Gnar, Lulu","Kalista, Caitlyn, Aurora, Xayah, Sejuani","Jax, Poppy, Azir, Jhin, Bard","Sion, Vi, Ahri, Jinx, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Cup/Scoreboards",VOD
