Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
2024-11-02,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Red,"Bilibili Gaming, Bilibili Gaminglogo std","Aurora, Yone, Kalista, Wukong, Kindred","Varus, Ashe, Skarner, Rakan, Renata Glasc","Gragas, Xin Zhao, Galio, Xayah, Poppy","Jax, Jarvan IV, Ahri, Kai'Sa, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-11-02,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Blue,"Bilibili Gaming, Bilibili Gaminglogo std","Jax, Yone, Varus, Blitzcrank, Xin Zhao","Aurora, Skarner, Kalista, Vi, Nocturne","Rumble, Poppy, Sylas, Ashe, Renata Glasc","Gnar, Sejuani, Smolder, Ziggs, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-11-02,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Loss,Red,"Bilibili Gaming, Bilibili Gaminglogo std","Aurora, Yone, Neeko, Akali, Wukong","Varus, Ashe, Skarner, Sejuani, Draven","Jax, Vi, Sylas, Xayah, Renata Glasc","Rumble, Kindred, Galio, Kalista, Blitzcrank","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-11-02,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Blue,"Bilibili Gaming, Bilibili Gaminglogo std","Jax, Yone, Varus, Kindred, Wukong","Aurora, Skarner, Vi, Gnar, Sejuani","Ornn, Nocturne, Sylas, Kalista, Renata Glasc","Rumble, Xin Zhao, Galio, Ashe, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-11-02,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Loss,Blue,"Bilibili Gaming, Bilibili Gaminglogo std","Jax, Kai'Sa, Kalista, Renata Glasc, Rakan","Aurora, Vi, Varus, Ziggs, Jhin","Gnar, Sejuani, Yone, Caitlyn, Braum","Rumble, Skarner, Sylas, Ashe, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-10-27,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Red,"Gen.G, Gen.Glogo std","Yone, Smolder, Aurora, K'Sante, Braum","Kalista, Xayah, Sylas, Bard, Orianna","Jax, Skarner, Ahri, Varus, Pyke","Poppy, Nidalee, Tristana, Ashe, Maokai","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-10-27,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Blue,"Gen.G, Gen.Glogo std","Nidalee, Smolder, Yone, Kai'Sa, Twitch","Xayah, Kalista, Aurora, Kindred, Sylas","Gragas, Vi, Akali, Ashe, Renata Glasc","Jax, Nocturne, Ahri, Ezreal, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-10-27,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Loss,Red,"Gen.G, Gen.Glogo std","Yone, Smolder, Aurora, Lulu, Renata Glasc","Kalista, Xayah, Ashe, Galio, Orianna","Maokai, Kindred, Sylas, Caitlyn, Braum","Jax, Skarner, Ahri, Kai'Sa, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-10-27,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Blue,"Gen.G, Gen.Glogo std","Nidalee, Smolder, Jax, Blitzcrank, Ezreal","Aurora, Kalista, Xayah, Sejuani, Rumble","Gragas, Vi, Yone, Ashe, Renata Glasc","Renekton, Skarner, Sylas, Ziggs, Leona","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Semifinals and Finals",VOD
2024-10-19,"INTWorlds 2024 Main Event, Worlds 2024 Main Event","14.18, Patch 14.18",Win,Red,"Top Esports, Top Esportslogo std","Yone, Aurora, Skarner, Jax, Rell","Rakan, Kalista, Rumble, Renata Glasc, Vi","Gnar, Poppy, Galio, Xayah, Pyke","Kennen, Xin Zhao, Sylas, Kai'Sa, Leona","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2024 Season World Championship/Main Event/Scoreboards/Quarterfinals",VOD
