Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
25/07/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Loss,Blue,Gen.G,"Taliyah, Aurora, Galio, Kai'Sa, Alistar","Pantheon, Varus, Azir, Rakan, Poppy","Rumble, Vi, Annie, Corki, Neeko","Gwen, Wukong, Orianna, Jhin, Bard","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards",VOD
20/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Win,Red,G2 Esports,"Pantheon, Taliyah, Varus, Yone, Ryze","Orianna, Neeko, Rumble, Karma, Rakan","Gwen, Vi, Sylas, Jhin, Bard","Jax, Maokai, Tristana, Sivir, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Semifinals to Finals",
20/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Win,Blue,G2 Esports,"Maokai, Vi, Taliyah, Alistar, Rakan","Varus, Pantheon, Lee Sin, Rumble, Jarvan IV","Aurora, Xin Zhao, Azir, Lucian, Braum","Sion, Trundle, Annie, Senna, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Semifinals to Finals",
19/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Loss,Blue,AG.AL,"Neeko, Vi, Orianna, Kai'Sa, Ornn","Pantheon, Varus, Xayah, Poppy, Bard","Rumble, Skarner, Taliyah, Corki, Rakan","Yorick, Xin Zhao, Galio, Senna, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Semifinals to Finals",
19/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Loss,Red,AG.AL,"Pantheon, Varus, Taliyah, Xin Zhao, Poppy","Orianna, Vi, Alistar, Rakan, Neeko","Gwen, Wukong, Annie, Jhin, Rell","Aurora, Trundle, Azir, Lucian, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Semifinals to Finals",
18/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Win,Blue,Movistar KOI,"Yone, Vi, Wukong, Jhin, Sivir","Annie, Orianna, Nocturne, Renata Glasc, Bard","Jax, Skarner, Viktor, Varus, Tahm Kench","K'Sante, Jarvan IV, Ahri, Miss Fortune, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Quarterfinals",
18/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Loss,Red,Movistar KOI,"Vi, Varus, Yone, Xayah, Miss Fortune","Annie, Jhin, Orianna, Braum, Caitlyn","Ambessa, Trundle, Ryze, Kai'Sa, Rell","Gwen, Xin Zhao, Galio, Jinx, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Quarterfinals",
18/07/2025,"INTEsports World Cup 2025, Esports World Cup 2025","25.13, Patch 25.13",Win,Blue,Movistar KOI,"Vi, Yone, Varus, Kai'Sa, Rell","Gwen, Jhin, Orianna, Xayah, Lucian","Rumble, Pantheon, Azir, Ezreal, Neeko","Aurora, Poppy, Taliyah, Corki, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, Esports World Cup 2025/Scoreboards/Quarterfinals",
13/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Blue,Gen.G,"Maokai, Neeko, Kai'Sa, Blitzcrank, Leona","Pantheon, Varus, Lee Sin, Twisted Fate, Yasuo","Renekton, Viego, Ahri, Caitlyn, Karma","Aatrox, Nidalee, Aurora, Miss Fortune, Pyke","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Finals",VOD
13/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,Gen.G,"Pantheon, Varus, Blitzcrank, Ziggs, Lulu","Neeko, Sylas, Yorick, Gragas, Ambessa","K'Sante, Skarner, Hwei, Jinx, Tahm Kench","Jayce, Trundle, Viktor, Zeri, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Finals",VOD
