Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
18/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.2, Patch 14.2",Win,Red,"FearX, FearXlogo std","Senna, Nautilus, Lucian, Jarvan IV, Rakan","Poppy, Ashe, Caitlyn, Renata Glasc, Rell","Aatrox, Nocturne, Orianna, Varus, Neeko","K'Sante, Lee Sin, Azir, Kalista, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 4 (2)",VOD
18/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.2, Patch 14.2",Win,Red,"FearX, FearXlogo std","Senna, Nautilus, Lucian, Jarvan IV, Viego","Poppy, Ashe, Caitlyn, Hwei, Zyra","Aatrox, Rell, Orianna, Varus, Ezreal","K'Sante, Lee Sin, Karma, Kalista, Renata Glasc","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 4 (2)",VOD
15/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.2, Patch 14.2",Win,Red,"Dplus KIA, Dplus KIAlogo std","Lucian, Senna, Kalista, Lee Sin, Viego","Ashe, Neeko, Hwei, Nautilus, Gnar","Aatrox, Rell, Orianna, Varus, Tahm Kench","K'Sante, Vi, Karma, Xayah, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 4",VOD
15/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.2, Patch 14.2",Win,Blue,"Dplus KIA, Dplus KIAlogo std","Tristana, Senna, Karma, Taliyah, Twisted Fate","Orianna, Lucian, Neeko, Rell, Corki","K'Sante, Poppy, Azir, Kalista, Ashe","Gnar, Sejuani, Akali, Varus, Pyke","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 4",VOD
3/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Red,"OKSavingsBank BRION, OKSavingsBank BRIONlogo std","Maokai, Nautilus, Orianna, Aatrox, Sejuani","Corki, Lucian, Kalista, Ornn, Nilah","Zac, Vi, Taliyah, Senna, Sion","K'Sante, Gragas, Tristana, Varus, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 3 (2)",VOD
3/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Blue,"OKSavingsBank BRION, OKSavingsBank BRIONlogo std","Maokai, Nautilus, Lee Sin, Vi, Viego","Corki, Lucian, Kalista, Rell, Nocturne","K'Sante, Poppy, Orianna, Caitlyn, Lux","Aatrox, Jarvan IV, Azir, Senna, Ornn","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 3 (2)",VOD
1/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Red,"DRX, DRXlogo std","Maokai, Lucian, Nautilus, Sejuani, Poppy","Ashe, Kalista, Orianna, Nilah, Nocturne","Aatrox, Viego, Neeko, Senna, Ornn","K'Sante, Rell, Corki, Xayah, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 3",VOD
1/02/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Blue,"DRX, DRXlogo std","Maokai, Kalista, Senna, Sejuani, Udyr","Ashe, Varus, Corki, Nocturne, Jarvan IV","Aatrox, Vi, Orianna, Lucian, Nami","Jax, Rell, Azir, Aphelios, Milio","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 3",VOD
28/01/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Maokai, Sejuani, Rakan, Senna, Ezreal","Nocturne, Kalista, Lucian, Ashe, Aatrox","Yone, Rell, Orianna, Varus, Pyke","K'Sante, Vi, Corki, Aphelios, Milio","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 2 (2)",VOD
28/01/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.1, Patch 14.1",Win,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Maokai, Vi, Sejuani, Udyr, K'Sante","Orianna, Varus, Lucian, Renata Glasc, Rumble","Yone, Nocturne, Neeko, Kalista, Ashe","Aatrox, Poppy, Corki, Xayah, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 2 (2)",VOD
