Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
2022-08-28,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Loss,Red,"Gen.G, Gen.Glogo std.png","Poppy, Kalista, Sejuani, Wukong, Skarner","Nautilus, Draven, Camille, Amumu, Ornn","Mordekaiser, Vi, Ahri, Sivir, Lulu","Renekton, Xin Zhao, Azir, Zeri, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-28,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Loss,Blue,"Gen.G, Gen.Glogo std.png","Poppy, Lucian, Azir, Vi, Wukong","Nautilus, Kalista, Sivir, Ahri, Trundle","Gnar, Morgana, Renekton, Zeri, Yuumi","Aatrox, Sejuani, Sylas, Nilah, Singed","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-28,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Loss,Blue,"Gen.G, Gen.Glogo std.png","Poppy, Lucian, Yuumi, Morgana, Renekton","Nautilus, Kalista, Draven, Camille, Karma","Ornn, Wukong, Ahri, Sivir, Amumu","Aatrox, Sejuani, Azir, Zeri, Lulu","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-21,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Win,Blue,"DWG KIA, DWG KIAlogo std.png","Renata Glasc, Lucian, Kalista, Nautilus, Yone","Ahri, Sivir, Renekton, Sylas, Sejuani","Gnar, Wukong, Galio, Zeri, Yuumi","Azir, Poppy, Yasuo, Heimerdinger, Senna","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-21,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Loss,Blue,"DWG KIA, DWG KIAlogo std.png","Renata Glasc, Lucian, Kalista, Xayah, Gwen","Ahri, Sivir, Renekton, Nautilus, Pyke","Camille, Vi, Azir, Nilah, Sejuani","Yone, Wukong, Sylas, Zeri, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-21,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Loss,Red,"DWG KIA, DWG KIAlogo std.png","Lucian, Sivir, Renata Glasc, Taliyah, Trundle","Gwen, Ahri, Nautilus, Sylas, Azir","Aatrox, Wukong, Lissandra, Kalista, Amumu","Renekton, Morgana, Swain, Draven, Braum","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-21,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Win,Red,"DWG KIA, DWG KIAlogo std.png","Renata Glasc, Sivir, Lucian, Taliyah, Trundle","Ahri, Gwen, Nautilus, Azir, Aatrox","Gnar, Wukong, Sylas, Kalista, Amumu","Renekton, Poppy, LeBlanc, Draven, Braum","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-21,"KRLCK 2022 Summer Playoffs, LCK 2022 Summer Playoffs","12.14, Patch 12.14",Win,Blue,"DWG KIA, DWG KIAlogo std.png","Lucian, Renata Glasc, Kalista, Alistar, Nilah","Ahri, Galio, Nautilus, Gwen, Vi","Ornn, Trundle, Azir, Sivir, Yuumi","Renekton, Wukong, Taliyah, Yasuo, Senna","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Playoffs/Scoreboards/Semifinals and Finals",VOD
2022-08-13,"KRLCK 2022 Summer, LCK 2022 Summer","12.14, Patch 12.14",Win,Red,"DWG KIA, DWG KIAlogo std.png","Sivir, Poppy, Kalista, Leona, Gwen","Renata Glasc, Yuumi, Wukong, Lee Sin, Viego","Gragas, Xin Zhao, Ahri, Draven, Nautilus","Ornn, Vi, Sylas, Zeri, Braum","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 9 (2)",VOD
2022-08-13,"KRLCK 2022 Summer, LCK 2022 Summer","12.14, Patch 12.14",Win,Blue,"DWG KIA, DWG KIAlogo std.png","Renata Glasc, Sylas, Amumu, Poppy, Gragas","Sivir, Gwen, Yone, Kalista, Draven","Ornn, Wukong, Ahri, Samira, Nautilus","Sejuani, Xin Zhao, Azir, Zeri, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 9 (2)",VOD
2022-08-10,"KRLCK 2022 Summer, LCK 2022 Summer","12.14, Patch 12.14",Loss,Blue,"Liiv SANDBOX, Liiv SANDBOXlogo std.png","Poppy, Sivir, Zeri, Sylas, Ornn","Draven, Kalista, Lucian, Yuumi, Karma","Sejuani, Wukong, Swain, Jinx, Blitzcrank","Gragas, Trundle, Azir, Aphelios, Tahm Kench","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 9",VOD
2022-08-10,"KRLCK 2022 Summer, LCK 2022 Summer","12.14, Patch 12.14",Loss,Red,"Liiv SANDBOX, Liiv SANDBOXlogo std.png","Poppy, Kalista, Yuumi, Ornn, Leona","Draven, Lucian, Gwen, Renekton, Xin Zhao","Sejuani, Pantheon, Azir, Zeri, Lulu","Gragas, Vi, Ahri, Sivir, Nautilus","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 9",VOD
2022-08-07,"KRLCK 2022 Summer, LCK 2022 Summer","12.13, Patch 12.13",Win,Blue,"Nongshim RedForce, Nongshim RedForcelogo std.png","Poppy, Taliyah, Sylas, Gwen, Blitzcrank","Wukong, Zeri, Sivir, Trundle, Nocturne","Zac, Viego, Azir, Draven, Renata Glasc","Ornn, Vi, Ahri, Kalista, Ashe","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 8 (2)",VOD
2022-08-07,"KRLCK 2022 Summer, LCK 2022 Summer","12.13, Patch 12.13",Loss,Red,"Nongshim RedForce, Nongshim RedForcelogo std.png","Taliyah, Poppy, Yuumi, Gnar, Leona","Draven, Kalista, Wukong, Lulu, Rakan","Renekton, Lee Sin, Azir, Zeri, Zilean","Ornn, Vi, Sylas, Sivir, Renata Glasc","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 8 (2)",VOD
2022-08-07,"KRLCK 2022 Summer, LCK 2022 Summer","12.13, Patch 12.13",Win,Red,"Nongshim RedForce, Nongshim RedForcelogo std.png","Taliyah, Yuumi, Poppy, Gwen, Akali","Draven, Kalista, Lee Sin, Tahm Kench, Sylas","Camille, Vi, Azir, Sivir, Rakan","Gnar, Wukong, Seraphine, Aphelios, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 8 (2)",VOD
2022-08-04,"KRLCK 2022 Summer, LCK 2022 Summer","12.13, Patch 12.13",Win,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std.png","Yuumi, Lucian, Kalista, Leona, Rakan","Draven, Wukong, Galio, Poppy, Gwen","Sejuani, Lee Sin, Taliyah, Zeri, Lulu","Gnar, Viego, Sylas, Sivir, Nautilus","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 8",VOD
2022-08-04,"KRLCK 2022 Summer, LCK 2022 Summer","12.13, Patch 12.13",Win,Blue,"Hanwha Life Esports, Hanwha Life Esportslogo std.png","Poppy, Kalista, Lulu, Trundle, Rakan","Draven, Yuumi, Lucian, Gnar, Tryndamere","Akali, Wukong, Galio, Zeri, Leona","Gwen, Viego, Azir, Sivir, Tahm Kench","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Summer Season/Scoreboards/Week 8",VOD
