Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
15/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Loss,Red,"Hanwha Life Esports, Hanwha Life Esportslogo std","Senna, Vi, Varus, Rakan, Renata Glasc","Orianna, Lucian, Kalista, Caitlyn, Ashe","Aatrox, Lee Sin, Ahri, Zeri, Nautilus","Jayce, Maokai, Taliyah, Smolder, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 8 (2)",VOD
15/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Win,Blue,"Hanwha Life Esports, Hanwha Life Esportslogo std","Maokai, Vi, Sejuani, Jayce, Nautilus","Ashe, Orianna, Senna, Nocturne, Poppy","Aatrox, Xin Zhao, Taliyah, Kalista, Neeko","K'Sante, Lee Sin, Ahri, Varus, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 8 (2)",VOD
15/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Loss,Blue,"Hanwha Life Esports, Hanwha Life Esportslogo std","Maokai, Vi, Sejuani, Alistar, Nautilus","Ashe, Orianna, Senna, Neeko, Renata Glasc","Aatrox, Lee Sin, Annie, Kalista, Bard","Jayce, Poppy, Ahri, Varus, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 8 (2)",VOD
13/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Win,Red,"Dplus KIA, Dplus KIAlogo std","Senna, Vi, Karma, K'Sante, Renekton","Orianna, Nocturne, Ashe, Draven, Hwei","Aatrox, Rell, Ahri, Caitlyn, Nami","Gnar, Lee Sin, Annie, Lucian, Sona","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 8",VOD
13/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Win,Red,"Dplus KIA, Dplus KIAlogo std","Senna, Vi, Sejuani, Lee Sin, K'Sante","Orianna, Corki, Ashe, Rell, Ahri","Aatrox, Nocturne, Taliyah, Lucian, Nami","Renekton, Maokai, Karma, Smolder, Milio","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 8",VOD
9/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Loss,Blue,"Gen.G, Gen.Glogo std","Nautilus, Zeri, Aphelios, K'Sante, Jayce","Orianna, Senna, Ashe, Aatrox, Gragas","Tristana, Poppy, Taliyah, Lucian, Nami","Twisted Fate, Rell, Ahri, Kalista, Renata Glasc","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 7 (2)",VOD
9/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Loss,Blue,"Gen.G, Gen.Glogo std","Nautilus, Zeri, Sejuani, Gragas, Taliyah","Orianna, Senna, Ashe, Vi, Neeko","Jayce, Jarvan IV, LeBlanc, Lucian, Nami","K'Sante, Rell, Corki, Aphelios, Lulu","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 7 (2)",VOD
7/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Win,Blue,"Kwangdong Freecs, Kwangdong Freecslogo std","Nautilus, K'Sante, Kalista, Jax, Gwen","Orianna, Ashe, Jayce, Ahri, Nocturne","Aatrox, Vi, Taliyah, Senna, Tahm Kench","Gnar, Volibear, Hwei, Smolder, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 7",VOD
7/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.4, Patch 14.4",Win,Red,"Kwangdong Freecs, Kwangdong Freecslogo std","Senna, Nautilus, Draven, K'Sante, Lee Sin","Orianna, Jayce, Lucian, Jarvan IV, Ahri","Aatrox, Nocturne, Taliyah, Varus, Kalista","Jax, Sejuani, Hwei, Jhin, Ashe","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 7",VOD
2/03/2024,"KRLCK 2024 Spring, LCK 2024 Spring","14.3, Patch 14.3",Win,Red,"OKSavingsBank BRION, OKSavingsBank BRIONlogo std","Lee Sin, Nautilus, Senna, Rakan, Zeri","Kalista, Ashe, Varus, Corki, Orianna","Aatrox, Vi, Taliyah, Lucian, Nami","K'Sante, Sejuani, Azir, Sivir, Yuumi","Zeus,Guwon,Faker,Gumayusi,Keria","SB, LCK/2024 Season/Spring Season/Scoreboards/Week 6 (2)",VOD
