Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Blue,Hanwha Life Esports,"Yone, Taliyah, Ornn, Twisted Fate, Trundle","Yorick, Azir, Rumble, Nocturne, Zed","K'Sante, Lee Sin, Annie, Xayah, Rakan","Gnar, Nidalee, Galio, Lucian, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,Hanwha Life Esports,"Yone, Taliyah, Rumble, Xayah, Ezreal","Azir, Ornn, Trundle, Camille, Renata Glasc","Ambessa, Pantheon, Ryze, Varus, Poppy","Sion, Xin Zhao, Viktor, Jhin, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,Hanwha Life Esports,"Yone, Poppy, Taliyah, Varus, Xayah","Pantheon, Rumble, Azir, Nocturne, Xin Zhao","Gwen, Wukong, Sylas, Kalista, Neeko","Jayce, Vi, Ahri, Miss Fortune, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,KT Rolster,"Yone, Vi, Nidalee, Nautilus, Miss Fortune","Poppy, Jayce, Senna, Caitlyn, Ashe","Camille, Trundle, Twisted Fate, Ziggs, Rell","Ambessa, Pantheon, Aurora, Xayah, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,KT Rolster,"Yone, Vi, Trundle, Rell, Nautilus","Poppy, Pantheon, Senna, Braum, Caitlyn","Renekton, Skarner, Azir, Lucian, Bard","Yorick, Sejuani, Taliyah, Ezreal, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Blue,KT Rolster,"Taliyah, Trundle, Yone, Tahm Kench, Poppy","Vi, Azir, Pantheon, Annie, Sylas","Gwen, Nocturne, Akali, Jhin, Rakan","Rumble, Jarvan IV, Ahri, Varus, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Loss,Blue,KT Rolster,"Taliyah, Trundle, Rumble, Kai'Sa, Varus","Vi, Azir, Gwen, Xayah, Alistar","Sion, Xin Zhao, Viktor, Corki, Elise","Ornn, Wukong, Ryze, Kalista, Neeko","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
30/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Loss,Blue,Nongshim RedForce,"Elise, Taliyah, Sion, Senna, Lulu","Kalista, Azir, Vi, Neeko, Renata Glasc","Gwen, Skarner, Viktor, Lucian, Braum","Jayce, Poppy, Ryze, Varus, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 9",VOD
30/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Loss,Red,Nongshim RedForce,"Vi, Azir, Gwen, Elise, Nautilus","Kalista, Taliyah, Viktor, Renata Glasc, Neeko","Ornn, Pantheon, Akali, Jhin, Alistar","Rumble, Sejuani, Yone, Xayah, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 9",VOD
28/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Loss,Blue,Hanwha Life Esports,"Taliyah, Yone, Jayce, Lucian, Rakan","Vi, Azir, Gwen, Wukong, Trundle","Rumble, Kindred, Galio, Senna, Alistar","Ornn, Naafiri, Ahri, Smolder, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 9",VOD
28/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Loss,Blue,Hanwha Life Esports,"Taliyah, Yone, Gwen, Elise, Rell","Vi, Azir, Rumble, Poppy, Sion","Yorick, Pantheon, Viktor, Miss Fortune, Neeko","Jax, Xin Zhao, Sylas, Kalista, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 9",VOD
24/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Win,Red,DN Freecs,"Vi, Azir, Xin Zhao, Xayah, Alistar","Pantheon, Ahri, Kalista, Varus, Jhin","Nidalee, Nocturne, Orianna, Lucian, Bard","Sion, Trundle, Viktor, Ezreal, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 8 (2)",VOD
24/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Win,Red,DN Freecs,"Vi, Kalista, Azir, Neeko, Braum","Pantheon, Ahri, Varus, Alistar, Xayah","Gwen, Skarner, Taliyah, Miss Fortune, Rell","Rumble, Sejuani, Yone, Senna, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 8 (2)",VOD
22/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Win,Red,BNK FEARX,"Vi, Pantheon, Wukong, Alistar, Xayah","Taliyah, Gwen, Varus, Jhin, Miss Fortune","Rumble, Skarner, Smolder, Senna, Nautilus","Jayce, Poppy, Azir, Lucian, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 8",VOD
22/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.10, Patch 25.10",Win,Blue,BNK FEARX,"Taliyah, Rumble, Pantheon, Sion, Galio","Vi, Gwen, Azir, Skarner, Sejuani","Yorick, Nocturne, Viktor, Kalista, Renata Glasc","Olaf, Xin Zhao, Annie, Ezreal, Neeko","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 8",VOD
18/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Loss,Blue,Gen.G,"Yone, Taliyah, Viktor, Kai'Sa, Ezreal","Vi, Kalista, Gwen, Miss Fortune, Lucian","Rumble, Wukong, Orianna, Ashe, Braum","Ornn, Pantheon, Galio, Jhin, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 7 (2)",VOD
18/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Loss,Red,Gen.G,"Vi, Taliyah, Rumble, Ezreal, Poppy","Kalista, Pantheon, Gwen, Miss Fortune, Jhin","Sion, Xin Zhao, Ahri, Varus, Renata Glasc","Jayce, Skarner, Azir, Xayah, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 7 (2)",VOD
15/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Blue,OKSavingsBank BRION,"Yone, Varus, Sion, Annie, Renekton","Kalista, Vi, Rumble, Nocturne, Gnar","Jax, Talon, Azir, Xayah, Rakan","Shen, Trundle, Zoe, Lucian, Nami","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 7",VOD
15/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Loss,Red,OKSavingsBank BRION,"Vi, Rumble, Sion, Nautilus, Kai'Sa","Kalista, Varus, Annie, Lucian, Xayah","Jayce, Naafiri, Ahri, Ezreal, Alistar","Yorick, Wukong, Taliyah, Ashe, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 7",VOD
15/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Blue,OKSavingsBank BRION,"Taliyah, Varus, Rumble, Kai'Sa, Poppy","Vi, Kalista, Azir, Xayah, Lucian","Gwen, Xin Zhao, Sylas, Jhin, Rell","Ambessa, Pantheon, Viktor, Miss Fortune, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 7",VOD
10/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Red,Dplus KIA,"Vi, Xin Zhao, Jayce, Jax, Poppy","Kalista, Viktor, Lillia, Xayah, Lucian","Camille, Sejuani, Taliyah, Miss Fortune, Alistar","K'Sante, Wukong, Ryze, Varus, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 6 (2)",VOD
10/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Red,Dplus KIA,"Vi, Xin Zhao, Taliyah, Ezreal, Rakan","Kalista, Poppy, Varus, Neeko, Alistar","Gwen, Pantheon, Azir, Jhin, Rell","Rumble, Naafiri, Ahri, Kai'Sa, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 6 (2)",VOD
8/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Red,DRX,"Gwen, Vi, Xin Zhao, Ambessa, Wukong","Azir, Kalista, Varus, Rakan, Rell","Camille, Nocturne, Ahri, Miss Fortune, Nautilus","Sion, Viego, Taliyah, Ezreal, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 6",VOD
8/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.09, Patch 25.09",Win,Blue,DRX,"Taliyah, Gwen, Kalista, Varus, Miss Fortune","Vi, Xin Zhao, Azir, Tahm Kench, Rakan","Jayce, Pantheon, Viktor, Xayah, Gragas","Rumble, Naafiri, Annie, Jhin, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 6",VOD
4/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Red,KT Rolster,"Yone, Taliyah, Neeko, Sylas, Yorick","Varus, Alistar, Gwen, Aurora, Jayce","Renekton, Vi, Viktor, Ashe, Renata Glasc","Aatrox, Sejuani, Hwei, Kalista, Elise","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 5 (2)",VOD
4/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Red,KT Rolster,"Yone, Vi, Kalista, Poppy, Naafiri","Varus, Taliyah, Gwen, Rakan, Alistar","Rumble, Xin Zhao, Ahri, Lucian, Braum","Galio, Viego, Azir, Jhin, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 5 (2)",VOD
2/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Red,DN Freecs,"Taliyah, Vi, Jayce, Nautilus, Ambessa","Kalista, Sion, Sejuani, Elise, Neeko","Gnar, Pantheon, Viktor, Jhin, Leona","Jax, Viego, Ryze, Varus, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 5",VOD
2/05/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Blue,DN Freecs,"Taliyah, Sejuani, Varus, Miss Fortune, Ezreal","Vi, Kalista, Jayce, Jhin, Poppy","Rumble, Xin Zhao, Azir, Xayah, Rakan","Gwen, Naafiri, Orianna, Tristana, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 5",VOD
27/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Loss,Red,OKSavingsBank BRION,"Vi, Xin Zhao, Azir, Renekton, Aatrox","Nocturne, Kalista, Lillia, Caitlyn, Jinx","Sion, Viego, Galio, Lucian, Alistar","Yorick, Wukong, Taliyah, Miss Fortune, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4 (2)",VOD
